iter	RMSE
0	121.2985326
1	119.2119538
2	117.2263412
3	114.982717
4	112.6977857
5	110.7802102
6	109.1377991
7	107.4199242
8	105.982937
9	104.4689986
10	103.0729883
11	101.721522
12	100.0846495
13	98.7912993
14	97.78739678
15	96.46474752
16	95.48441309
17	94.43557709
18	93.70687102
19	92.86809127
20	91.98107412
21	91.2582313
22	90.45502521
23	89.79937569
24	89.11117342
25	88.42809187
26	87.76837302
27	87.1454921
28	86.64197075
29	86.16985556
30	85.62089124
31	85.20020741
32	84.78864885
33	84.38590205
34	83.8718043
35	83.45054872
36	83.15142274
37	82.82507989
38	82.37530495
39	81.99570989
40	81.6680314
41	81.28507245
42	81.02338711
43	80.6858662
44	80.45219753
45	80.03877496
46	79.85296828
47	79.5332246
48	79.26760271
49	79.00237414
50	78.61868557
51	78.40122707
52	78.21069282
53	77.9329136
54	77.69187133
55	77.47037755
56	77.28713253
57	77.0384102
58	76.74328281
59	76.40536529
60	76.15581295
61	75.91329203
62	75.66668944
63	75.56070757
64	75.39135681
65	75.25799562
66	74.96821183
67	74.71105861
68	74.53823332
69	74.38896496
70	74.28859215
71	74.12354836
72	73.99522385
73	73.85703787
74	73.72158905
75	73.60352712
76	73.50518928
77	73.39133068
78	73.29049209
79	73.13500458
80	73.05644498
81	72.85251465
82	72.69245862
83	72.53483052
84	72.35741616
85	72.16915747
86	72.01217975
87	71.90580443
88	71.7135047
89	71.58899043
90	71.41600111
91	71.29559942
92	71.24172553
93	71.11652687
94	71.04611254
95	70.88408466
96	70.76601838
97	70.65885509
98	70.56503403
99	70.4992539
100	70.26529454
101	70.18001999
102	70.08178225
103	69.92313176
104	69.78275485
105	69.63458798
106	69.41130798
107	69.29088812
108	69.2240645
109	69.11211534
110	68.99327385
111	68.87019289
112	68.77572995
113	68.63889111
114	68.46405502
115	68.38198158
116	68.27965847
117	68.16242933
118	68.09477206
119	67.95329001
120	67.84346158
121	67.70405581
122	67.61077436
123	67.54457827
124	67.3957726
125	67.36309857
126	67.28159583
127	67.083858
128	66.98922029
129	66.91781426
130	66.78815906
131	66.61609359
132	66.52362809
133	66.45630109
134	66.32320073
135	66.17333599
136	66.08960683
137	65.81504952
138	65.63767893
139	65.48944558
140	65.43008969
141	65.36632676
142	65.25323586
143	65.10939559
144	64.98361019
145	64.86338396
146	64.78318279
147	64.63359715
148	64.48651164
149	64.34121704
150	64.18763876
151	64.141398
152	64.01769823
153	63.93997803
154	63.89284656
155	63.78219948
156	63.73584077
157	63.70260749
158	63.56249661
159	63.50416457
160	63.38932445
161	63.29319287
162	63.24583223
163	63.1874226
164	63.1651849
165	63.12960179
166	63.08200041
167	62.96359013
168	62.92482677
169	62.80522873
170	62.74370157
171	62.69004752
172	62.62378731
173	62.552922
174	62.42143329
175	62.39855418
176	62.37573884
177	62.33993587
178	62.30416781
179	62.20317309
180	62.18232346
181	62.0037223
182	61.97910811
183	61.77645967
184	61.74257237
185	61.68697467
186	61.64615499
187	61.62491608
188	61.5989013
189	61.55925202
190	61.44990549
191	61.41663534
192	61.38116242
193	61.36596921
194	61.33919809
195	61.23544222
196	61.15493541
197	61.14073993
198	61.09259057
199	61.06931683
200	61.04358058
201	60.92435931
202	60.80518032
203	60.78112011
204	60.76224837
205	60.74243447
206	60.72658165
207	60.71032035
208	60.68427702
209	60.66471577
210	60.53536192
211	60.50101571
212	60.28740388
213	60.0765203
214	59.90239032
215	59.7037094
216	59.68852579
217	59.46010841
218	59.4454105
219	59.21063987
220	59.17876505
221	59.09645089
222	58.91409019
223	58.84697726
224	58.83117761
225	58.7278476
226	58.65529716
227	58.54486831
228	58.53039467
229	58.39485532
230	58.36797798
231	58.34033481
232	58.11380228
233	58.03314826
234	57.94720513
235	57.80195995
236	57.74815797
237	57.57286977
238	57.474522
239	57.31974884
240	57.23813227
241	57.07938926
242	57.06686452
243	56.93441662
244	56.77678146
245	56.72070968
246	56.70738192
247	56.68598912
248	56.56577334
249	56.41218054
250	56.34300198
251	56.32195921
252	56.220726
