iter	Passed	Remaining
0	140	69872
1	140	35088
2	141	23475
3	142	17674
4	143	14190
5	144	11867
6	144	10207
7	145	8960
8	146	7990
9	147	7214
10	147	6579
11	148	6056
12	149	5607
13	150	5222
14	151	4888
15	151	4596
16	152	4339
17	153	4109
18	154	3904
19	155	3720
20	155	3553
21	156	3401
22	157	3262
23	158	3134
24	158	3017
25	159	2909
26	160	2808
27	161	2715
28	161	2628
29	162	2548
30	163	2472
31	164	2401
32	164	2334
33	165	2270
34	166	2211
35	167	2155
36	167	2101
37	168	2051
38	169	2003
39	170	1957
40	170	1914
41	171	1872
42	172	1833
43	173	1795
44	173	1759
45	174	1724
46	175	1691
47	176	1659
48	177	1630
49	177	1601
50	178	1573
51	179	1546
52	180	1519
53	180	1494
54	181	1470
55	182	1446
56	183	1424
57	184	1402
58	184	1381
59	185	1361
60	186	1341
61	187	1321
62	187	1303
63	188	1285
64	189	1267
65	190	1250
66	191	1234
67	191	1218
68	192	1203
69	193	1188
70	194	1173
71	194	1158
72	195	1144
73	196	1130
74	197	1117
75	197	1104
76	198	1091
77	199	1078
78	200	1066
79	200	1054
80	201	1043
81	202	1031
82	203	1021
83	203	1010
84	205	1002
85	206	992
86	206	982
87	207	972
88	208	962
89	209	953
90	210	944
91	210	935
92	211	926
93	212	917
94	213	909
95	214	900
96	214	892
97	215	884
98	216	876
99	217	868
100	217	860
101	218	852
102	219	845
103	220	838
104	220	830
105	221	823
106	222	816
107	223	810
108	223	803
109	224	796
110	225	790
111	226	783
112	226	777
113	227	770
114	228	764
115	229	758
116	229	752
117	230	746
118	231	741
119	232	735
120	232	729
121	233	724
122	234	719
123	235	713
124	236	708
125	236	702
126	237	697
127	238	692
128	239	687
129	239	682
130	240	677
131	241	672
132	242	668
133	242	663
134	243	658
135	244	653
136	245	649
137	245	644
138	246	640
139	247	635
140	248	631
141	248	627
142	249	623
143	250	619
144	251	615
145	251	610
146	252	606
147	253	602
148	254	598
149	254	594
150	255	590
151	256	586
152	257	583
153	257	579
154	258	575
155	259	572
156	260	568
157	260	564
158	261	561
159	262	557
160	263	554
161	264	550
162	264	547
163	265	543
164	266	540
165	266	537
166	267	533
167	268	530
168	269	527
169	269	524
170	270	520
171	271	517
172	272	514
173	272	511
174	273	508
175	274	505
176	275	501
177	275	498
178	276	495
179	277	493
180	278	490
181	278	487
182	279	484
183	280	481
184	281	478
185	281	475
186	282	472
187	283	470
188	283	467
189	284	464
190	285	461
191	286	459
192	286	456
193	287	453
194	288	451
195	289	448
196	289	445
197	290	443
198	291	440
199	292	438
200	292	435
201	293	433
202	294	430
203	295	428
204	296	426
205	296	423
206	297	421
207	298	418
208	298	416
209	299	413
210	300	411
211	301	409
212	301	406
213	302	404
214	303	402
215	304	400
216	305	397
217	305	395
218	307	394
219	308	392
220	309	390
221	310	388
222	310	386
223	311	383
224	312	381
225	313	379
226	314	377
227	314	375
228	315	373
229	316	371
230	317	369
231	317	367
232	318	364
233	319	362
234	319	360
235	320	358
236	321	356
237	322	354
238	323	352
239	324	351
240	324	349
241	325	347
242	326	345
243	327	343
244	327	341
245	328	339
246	329	337
247	330	335
248	330	333
249	331	331
250	332	329
251	333	327
252	333	326
253	334	324
254	335	322
255	336	320
256	337	318
257	337	316
258	338	314
259	339	313
260	340	311
261	340	309
262	341	307
263	342	306
264	343	304
265	343	302
266	344	300
267	345	298
268	346	297
269	346	295
270	347	293
271	348	291
272	349	290
273	349	288
274	350	286
275	351	285
276	352	283
277	352	281
278	353	280
279	354	278
280	355	276
281	355	275
282	356	273
283	357	271
284	358	270
285	358	268
286	359	266
287	360	265
288	360	263
289	361	261
290	362	260
291	363	258
292	364	257
293	365	255
294	365	254
295	366	252
296	367	250
297	367	249
298	368	247
299	369	246
300	370	244
301	371	243
302	371	241
303	372	240
304	373	238
305	373	237
306	374	235
307	375	234
308	376	232
309	376	230
310	377	229
311	378	228
312	379	226
313	380	225
314	380	223
315	381	222
316	382	220
317	383	219
318	383	217
319	384	216
320	385	214
321	386	213
322	386	211
323	387	210
324	388	209
325	389	207
326	389	206
327	390	204
328	391	203
329	392	202
330	392	200
331	393	199
332	394	197
333	395	196
334	395	195
335	396	193
336	397	192
337	398	191
338	399	189
339	400	188
340	400	186
341	401	185
342	402	184
343	403	182
344	403	181
345	404	180
346	405	178
347	405	177
348	406	175
349	407	174
350	408	173
351	409	171
352	409	170
353	410	169
354	411	167
355	411	166
356	412	165
357	413	164
358	414	162
359	414	161
360	415	160
361	416	158
362	417	157
363	418	156
364	418	154
365	419	153
366	420	152
367	420	150
368	421	149
369	422	148
370	423	147
371	424	145
372	424	144
373	425	143
374	426	142
375	427	140
376	427	139
377	428	138
378	429	137
379	429	135
380	430	134
381	431	133
382	432	132
383	433	130
384	433	129
385	434	128
386	435	127
387	436	125
388	436	124
389	437	123
390	438	122
391	439	121
392	440	119
393	440	118
394	441	117
395	442	116
396	443	115
397	444	113
398	444	112
399	445	111
400	446	110
401	447	108
402	447	107
403	448	106
404	449	105
405	450	104
406	450	103
407	451	101
408	452	100
409	453	99
410	453	98
411	454	97
412	455	95
413	456	94
414	456	93
415	457	92
416	458	91
417	459	90
418	459	88
419	460	87
420	461	86
421	462	85
422	463	84
423	463	83
424	464	81
425	465	80
426	466	79
427	467	78
428	467	77
429	468	76
430	469	75
431	470	74
432	470	72
433	471	71
434	472	70
435	473	69
436	473	68
437	474	67
438	475	66
439	476	64
440	477	63
441	477	62
442	478	61
443	479	60
444	480	59
445	480	58
446	481	57
447	482	55
448	483	54
449	483	53
450	484	52
451	485	51
452	486	50
453	486	49
454	487	48
455	488	47
456	489	46
457	489	44
458	490	43
459	491	42
460	492	41
461	492	40
462	493	39
463	494	38
464	495	37
465	495	36
466	496	35
467	497	34
468	498	32
469	498	31
470	499	30
471	500	29
472	501	28
473	501	27
474	502	26
475	503	25
476	504	24
477	504	23
478	505	22
479	506	21
480	507	20
481	508	18
482	508	17
483	509	16
484	510	15
485	511	14
486	511	13
487	512	12
488	513	11
489	514	10
490	514	9
491	515	8
492	516	7
493	517	6
494	517	5
495	518	4
496	519	3
497	520	2
498	520	1
499	521	0
